year,undergraduate_research_participants,graduate_research_assistants,student_coauthored_publications,student_conference_presentations,student_awards,community_engaged_research_projects,other_student_scholarly_products,partial_year,coverage_note
2021,NA,NA,10,NA,1,NA,0,FALSE,"Current sources support student-coauthored publications and student awards only; student level, GRA appointments, student presentations, and community-engaged student projects are unavailable."
2022,NA,NA,12,NA,3,NA,1,FALSE,"Current sources support student-coauthored publications and student awards only; student level, GRA appointments, student presentations, and community-engaged student projects are unavailable."
2023,NA,NA,15,NA,4,NA,0,FALSE,"Current sources support student-coauthored publications and student awards only; student level, GRA appointments, student presentations, and community-engaged student projects are unavailable."
2024,NA,NA,18,NA,2,NA,2,FALSE,"Current sources support student-coauthored publications and student awards only; student level, GRA appointments, student presentations, and community-engaged student projects are unavailable."
2025,NA,NA,16,NA,0,NA,0,FALSE,"Current sources support student-coauthored publications and student awards only; student level, GRA appointments, student presentations, and community-engaged student projects are unavailable."
2026,NA,NA,4,NA,2,NA,0,TRUE,"Current sources support student-coauthored publications and student awards only; student level, GRA appointments, student presentations, and community-engaged student projects are unavailable."
