year,headcount_all,headcount_tt,research_fte,n_outputs,total_citations,output_per_head,output_per_tt,output_per_fte
2021,25,24,8.06,71,1587,2.84,2.96,8.81
2022,25,23,8.16,54,770,2.16,2.35,6.62
2023,27,25,9.16,56,468,2.07,2.24,6.11
2024,28,26,9.66,59,377,2.11,2.27,6.11
2025,27,25,9.36,77,236,2.85,3.08,8.23
2026,27,25,9.36,33,14,1.22,1.32,3.53
