year,agricultural_education,agricultural_and_food_economics,cross_area_publications,enre,unclassified_publications,department_total
2021,0,26,1,21,0,48
2022,1,24,1,18,0,44
2023,1,22,1,15,0,39
2024,0,30,2,16,0,48
2025,3,34,6,14,0,57
2026,1,18,1,8,0,28
