indicator,csu_department_value,peer_median,peer_maximum,csu_percentile,interpretation,comparison_year,metric_definition,notes_on_comparability
Journal articles,NA,NA,NA,NA,NA,NA,NA,NA
Citations,NA,NA,NA,NA,NA,NA,NA,NA
Citations per publication,NA,NA,NA,NA,NA,NA,NA,NA
Grants,NA,NA,NA,NA,NA,NA,NA,NA
Grant dollars,NA,NA,NA,NA,NA,NA,NA,NA
Books,NA,NA,NA,NA,NA,NA,NA,NA
Conference proceedings,NA,NA,NA,NA,NA,NA,NA,NA
Awards and honors,NA,NA,NA,NA,NA,NA,NA,NA
Cross-institutional collaboration,NA,NA,NA,NA,NA,NA,NA,NA
