year,total_awards,faculty_awards,student_awards,staff_awards,alumni_awards,partial_year
2021,3,2,1,0,0,FALSE
2022,14,10,3,0,1,FALSE
2023,9,5,4,0,0,FALSE
2024,11,8,2,1,0,FALSE
2025,6,6,0,0,0,FALSE
2026,10,6,4,0,0,TRUE
