funding_source_type,award_count_2021,award_count_2022,award_count_2023,award_count_2024,award_count_2025,award_count_2026,award_dollars_2021,award_dollars_2022,award_dollars_2023,award_dollars_2024,award_dollars_2025,award_dollars_2026,six_year_award_count,six_year_award_dollars
Federal,14,18,11,12,6,1,2909997.33,3690309.4,51577468.84,862659.52,1044303.36,99999.49,62,60184737.94
State,1,1,3,1,0,0,127039.86,66999.3,117180.71,22072.55,0,0,6,333292.42
CSU/Internal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foundation/nonprofit,3,4,2,1,1,1,139718.19,1411500.47,596598.98,18001.12,20615.5,24000.92,12,2210435.18
Industry,1,0,1,1,0,0,98637.92,0,449169.62,73859.15,0,0,3,621666.69
Other,0,0,0,1,1,0,0,0,0,54994.77,17999.1,0,2,72993.87
