output_category,Year_2021,Year_2022,Year_2023,Year_2024,Year_2025,Year_2026,six_year_total
Conference proceedings,0,0,0,0,1,0,1
Edited volumes,0,0,0,0,0,0,0
Other juried or peer-reviewed scholarly works,2,3,0,3,1,0,9
Peer-reviewed book chapters,4,4,0,3,1,0,12
Scholarly books,0,0,0,0,0,0,0
