metric,value,unit
Number of originating sponsors,31,count
Top sponsor share of award dollars,0.802,share
Top 3 sponsors share of award dollars,0.8884,share
Top 5 sponsors share of award dollars,0.92,share
Sponsor-dollar HHI,0.6491,index
Federal share of award dollars,0.9489,share
