year,headcount_all,headcount_tt_as_listed,headcount_tt_if_ritten_tt,n_all_missing_research_share,n_tt_missing_research_share,n_tt_if_ritten_missing_research_share,research_fte_all_known,research_fte_tt_known_as_listed,research_fte_tt_known_if_ritten_tt,research_fte_tt_complete_as_listed,research_fte_tt_complete_if_ritten_tt,n_distinct_publications,n_faculty_publication_rows,internal_collaboration_gap,n_internal_collaboration_publications,n_cross_area_publications,n_student_coauthored_publications,n_distinct_journal_articles,n_distinct_verified_peer_reviewed,n_distinct_index_a,n_distinct_index_b,n_distinct_books,n_distinct_book_chapters,n_distinct_research_reports,n_distinct_conference_proceedings,n_publications_with_citation_data,distinct_publication_citations,mean_publication_impact_factor,in_reporting_window,edge_2026,headcount_tt,research_fte_tt_known,research_fte_tt,research_fte_denominator_complete,unique_publications_per_tt,verified_peer_reviewed_per_tt,unique_publications_per_research_fte,verified_peer_reviewed_per_research_fte,unique_publications_per_tt_if_ritten_tt,unique_publications_per_research_fte_if_ritten_tt
2021,25,24,24,2,2,2,8.06,8.06,8.06,NA,NA,55,75,20,15,1,10,49,49,41,8,0,4,2,0,46,1343,6.440047619047619,TRUE,0,24,8.06,NA,FALSE,2.2916666666666665,2.0416666666666665,NA,NA,2.2916666666666665,NA
2022,25,23,24,1,1,1,8.16,8.06,8.16,NA,NA,51,64,13,12,1,12,44,44,34,10,0,4,3,0,43,595,4.168058823529412,TRUE,0,23,8.06,NA,FALSE,2.217391304347826,1.9130434782608696,NA,NA,2.125,NA
2023,27,25,26,1,1,1,9.16,9.06,9.16,NA,NA,39,55,16,10,1,15,39,39,33,6,0,0,0,0,32,336,4.161,TRUE,0,25,9.06,NA,FALSE,1.56,1.56,NA,NA,1.5,NA
2024,28,26,27,1,1,1,9.66,9.56,9.66,NA,NA,54,68,14,9,3,18,48,48,38,10,0,3,3,0,39,326,3.318421052631579,TRUE,0,26,9.56,NA,FALSE,2.076923076923077,1.8461538461538463,NA,NA,2,NA
2025,27,25,26,0,0,0,9.36,9.26,9.36,9.26,9.36,60,80,20,14,6,16,57,58,45,12,0,1,1,1,53,189,5.904444444444445,TRUE,0,25,9.26,9.26,TRUE,2.4,2.32,6.479481641468682,6.263498920086393,2.3076923076923075,6.410256410256411
2026,27,25,26,0,0,0,9.36,9.26,9.36,9.26,9.36,28,33,5,3,1,4,28,28,24,4,0,0,0,0,26,13,6.316666666666666,TRUE,1,25,9.26,9.26,TRUE,1.12,1.12,3.023758099352052,3.023758099352052,1.0769230769230769,2.9914529914529915
