year,active_tt_faculty,active_tt_research_fte,indexed_and_peer_reviewed_publications,peer_reviewed_but_nonindexed_publications,total_qualifying_publications,unique_department_publications,faculty_publication_count,unique_publications_per_active_tt_faculty,faculty_publications_per_active_tt_faculty,unique_publications_per_tt_research_fte,faculty_publications_per_tt_research_fte
2021,24,8.06,40,8,48,48,66,2,2.75,5.96,8.19
2022,23,8.06,34,10,44,44,54,1.91,2.35,5.46,6.7
2023,25,9.06,33,6,39,39,55,1.56,2.2,4.3,6.07
2024,26,9.56,38,10,48,48,59,1.85,2.27,5.02,6.17
2025,25,9.26,45,12,57,57,77,2.28,3.08,6.16,8.32
2026,25,9.26,24,4,28,28,33,1.12,1.32,3.02,3.56
