key_id,year,lead_unit_code,lead_unit_name,dare_lead,investigator_entry,investigator_name,investigator_role,investigator_unit_code,investigator_last,investigator_first,investigator_person_key,parse_success,roster_last,roster_first,roster_area,dare_roster_match
K000163058,2025,1172,Agricultural + Resource Economics,TRUE,"Szczepaniec,Adrianna (Primary PI) 1177","Szczepaniec,Adrianna",Primary PI,1177,Szczepaniec,Adrianna,szczepaniec|a,TRUE,,,,FALSE
K000163058,2025,1172,Agricultural + Resource Economics,TRUE,"Eubanks,Micky (Co-PI) 1177","Eubanks,Micky",Co-PI,1177,Eubanks,Micky,eubanks|m,TRUE,,,,FALSE
K000163058,2025,1172,Agricultural + Resource Economics,TRUE,"Roberts,Robyn (Co-PI) 1177","Roberts,Robyn",Co-PI,1177,Roberts,Robyn,roberts|r,TRUE,,,,FALSE
K000163058,2025,1172,Agricultural + Resource Economics,TRUE,"Nachappa,Punya (Co-PI) 1177","Nachappa,Punya",Co-PI,1177,Nachappa,Punya,nachappa|p,TRUE,,,,FALSE
K000163058,2025,1172,Agricultural + Resource Economics,TRUE,"Stewart,Jane E (Co-PI) 1177","Stewart,Jane E",Co-PI,1177,Stewart,Jane E,stewart|j,TRUE,,,,FALSE
K000163058,2025,1172,Agricultural + Resource Economics,TRUE,"Gaines,Todd A (Co-PI) 1177","Gaines,Todd A",Co-PI,1177,Gaines,Todd A,gaines|t,TRUE,,,,FALSE
K000162798,2025,1170,Soil + Crop Sciences,FALSE,"Deiss,Leonardo (Primary PI) 1170","Deiss,Leonardo",Primary PI,1170,Deiss,Leonardo,deiss|l,TRUE,,,,FALSE
K000162861,2025,1170,Soil + Crop Sciences,FALSE,"Wilkins,Michael James (Primary PI) 1170","Wilkins,Michael James",Primary PI,1170,Wilkins,Michael James,wilkins|m,TRUE,,,,FALSE
K000162861,2025,1170,Soil + Crop Sciences,FALSE,"Hart,Sarah Jane (Co-PI) 1472","Hart,Sarah Jane",Co-PI,1472,Hart,Sarah Jane,hart|s,TRUE,,,,FALSE
K000162861,2025,1170,Soil + Crop Sciences,FALSE,"Stevens-Rumann,Camille S (Co-PI) 1472","Stevens-Rumann,Camille S",Co-PI,1472,Stevens-Rumann,Camille S,stevens rumann|c,TRUE,,,,FALSE
K000162990,2025,1170,Soil + Crop Sciences,FALSE,"Schipanski,Meagan Erin (Primary PI) 1170","Schipanski,Meagan Erin",Primary PI,1170,Schipanski,Meagan Erin,schipanski|m,TRUE,,,,FALSE
K000163087,2025,1170,Soil + Crop Sciences,FALSE,"Andales,Allan A (Primary PI) 1170","Andales,Allan A",Primary PI,1170,Andales,Allan A,andales|a,TRUE,,,,FALSE
K000163087,2025,1170,Soil + Crop Sciences,FALSE,"Davidson,Jeffery William (Co-PI) 3040","Davidson,Jeffery William",Co-PI,3040,Davidson,Jeffery William,davidson|j,TRUE,,,,FALSE
K000163118,2025,1172,Agricultural + Resource Economics,TRUE,"Ritten,John Patrick (Primary PI) 1172","Ritten,John Patrick",Primary PI,1172,Ritten,John Patrick,ritten|j,TRUE,Ritten,John,Ag and Food,TRUE
