year,peer_reviewed_journal_publications,publications_with_google_scholar_citation_data,publication_weighted_average_journal_impact_factor,total_google_scholar_citations,mean_google_scholar_citations_per_publication,median_google_scholar_citations_per_publication,percentage_of_publications_cited_in_google_scholar,partial_year
2021,48,48,6.57,1989,41.44,20,97.92,FALSE
2022,44,44,4.17,1188,27,17.5,93.18,FALSE
2023,39,39,4.16,539,13.82,9,97.44,FALSE
2024,48,48,3.32,593,12.35,6.5,85.42,FALSE
2025,57,57,5.9,286,5.02,3,77.19,FALSE
2026,28,28,6.32,54,1.93,1,53.57,TRUE
