lead_unit_code,lead_unit_name,proposals_submitted_2021_2026,awards_received_2021_2026,total_awarded_dollars_2021_2026,average_award_amount
1170,Soil + Crop Sciences,401,224,96577947.22,431151.55
1172,Agricultural + Resource Economics,153,85,63423126.1,746154.42
1177,Agricultural Biology,416,224,36428214.84,162625.96
1171,Animal Sciences,281,121,17603736.51,145485.43
1173,Horticulture + Landscape Architecture,241,95,11214957.57,118052.18
1101,Dean of Agricultural Sciences,8,3,583565.13,194521.71
