last,2021,2022,2023,2024,2025,total
Bayham,1,4,1,3,5,14
Berning,3,2,1,1,1,8
Bonanno,0,1,3,2,1,7
Burkhardt,3,2,2,5,3,15
Chenarides,0,0,6,4,1,11
Cleary,2,5,3,0,0,10
Costanigro,3,2,2,1,1,9
Countryman,0,0,1,14,7,22
DeLay,3,3,5,6,5,22
Graff,2,2,2,0,3,9
Hill,5,1,0,0,0,6
Magnan,2,2,8,2,2,16
Suter,0,0,2,1,0,3
Van Sandt,0,0,0,1,3,4
Woerman,7,7,3,5,5,27
